,Fuel Consumption (City (L/100 km)
171,12.3
258,15.6
544,8.2
151,15.2
425,15.9
410,18.2
58,16.0
638,10.8
155,12.8
459,4.3
511,13.0
907,13.0
524,11.5
226,8.0
923,11.8
432,5.0
875,5.3
189,15.0
918,11.6
440,7.8
23,10.4
167,12.9
136,13.6
301,15.4
655,10.8
909,13.8
502,12.2
491,14.1
454,7.1
930,8.4
334,14.7
330,16.8
912,13.5
796,15.6
646,8.7
784,13.7
826,11.6
650,10.1
679,11.2
314,13.1
541,13.0
165,10.8
137,9.7
219,15.7
551,10.1
272,15.8
110,9.9
610,13.7
196,10.2
710,10.4
517,10.1
499,11.9
662,11.3
363,10.0
603,14.4
77,13.9
65,19.0
234,17.0
581,16.2
533,7.9
596,14.2
901,13.0
717,6.6
373,13.0
414,15.8
186,12.2
130,9.4
73,10.0
807,16.8
535,8.9
139,8.0
908,13.8
340,11.0
913,12.7
173,12.6
707,10.2
536,8.0
213,16.8
887,8.1
445,8.8
181,17.2
254,12.4
458,4.5
558,26.8
785,14.7
350,11.8
667,12.7
818,15.7
253,12.4
608,8.0
835,15.9
276,18.3
370,15.0
25,9.8
838,11.2
273,19.0
143,10.5
393,10.5
773,13.8
0,9.9
366,12.1
658,12.6
54,12.8
741,8.2
447,12.2
633,9.4
316,14.4
11,10.3
125,17.9
230,11.7
256,12.4
68,15.2
609,5.7
568,13.5
355,11.9
509,14.3
365,14.7
376,12.3
497,10.4
390,14.4
822,15.3
629,17.4
498,10.8
221,16.5
542,7.2
369,14.8
335,9.8
216,16.6
304,11.7
777,13.8
896,4.6
587,11.0
709,10.1
720,9.7
172,10.8
327,15.1
661,11.6
772,12.9
27,11.1
431,10.4
705,8.5
160,11.7
690,15.2
6,13.0
30,13.0
228,15.8
384,14.0
842,19.9
270,15.8
516,9.8
621,15.1
716,9.6
573,13.3
730,12.0
830,12.2
770,12.9
651,9.0
526,11.2
297,10.5
642,8.9
699,8.7
594,13.8
620,17.4
291,10.4
916,11.5
857,10.1
614,11.8
644,10.1
106,13.9
391,13.9
902,9.5
51,11.1
210,15.6
936,10.4
287,13.8
809,13.8
602,12.2
312,12.1
285,13.8
473,5.3
294,12.6
816,13.8
806,15.9
402,16.8
244,8.0
695,14.3
762,12.3
205,11.8
712,10.5
756,11.2
905,6.6
333,14.3
848,12.0
290,11.1
926,8.0
436,8.0
247,13.6
771,12.8
352,15.8
938,10.9
197,16.2
861,9.0
559,18.0
231,13.0
563,19.2
792,13.7
296,9.0
176,12.8
523,13.7
790,13.1
193,8.2
631,8.8
688,11.7
409,16.5
386,10.2
283,14.1
520,10.7
385,12.5
531,12.0
261,13.0
566,15.8
269,14.7
42,17.9
867,8.7
306,12.2
427,16.3
640,8.4
757,11.7
175,12.6
664,11.7
765,14.0
81,15.7
625,15.4
113,15.7
13,13.9
678,10.5
920,9.3
793,13.6
8,10.0
715,10.4
884,8.4
34,10.3
215,16.1
601,12.2
700,8.2
311,13.5
545,9.4
592,16.0
336,10.3
670,13.4
828,13.0
64,15.8
305,12.0
522,12.0
811,13.1
399,15.6
518,10.8
739,9.2
821,15.3
109,10.3
367,13.5
392,14.7
324,13.0
192,9.4
267,18.1
598,10.5
834,13.9
465,12.3
641,8.7
67,19.6
840,20.1
582,9.5
149,12.0
450,12.3
35,10.3
417,15.8
203,10.9
37,12.8
800,13.8
804,15.2
308,13.4
904,18.5
528,12.3
419,16.3
514,12.7
323,13.5
284,13.1
141,9.0
892,11.8
184,12.9
91,14.6
443,8.7
749,11.7
615,12.6
693,13.3
654,10.0
233,16.3
494,15.2
433,5.3
569,16.4
292,11.5
663,12.0
619,14.8
548,10.1
354,17.1
732,8.6
263,16.7
217,16.8
549,6.4
751,12.5
880,7.7
16,16.4
929,13.0
100,16.1
944,11.5
941,10.7
643,9.5
836,14.5
438,7.6
161,16.3
939,10.6
789,16.9
396,22.0
383,12.2
403,15.4
214,15.3
105,16.1
702,10.2
457,10.9
557,26.8
683,10.9
236,15.8
235,11.0
607,8.1
475,9.9
117,15.7
506,10.8
114,15.7
550,8.5
430,8.1
682,10.3
519,15.6
280,12.8
119,11.2
469,7.1
564,13.2
871,10.8
449,12.4
906,6.8
78,13.9
282,14.9
94,10.9
36,12.0
799,13.8
479,7.9
521,12.8
769,13.1
381,12.9
257,14.7
163,10.0
776,12.8
684,11.5
864,12.3
795,15.2
453,7.6
846,11.7
623,17.4
703,8.5
852,9.0
808,12.4
168,11.2
484,12.5
103,16.1
801,14.7
704,10.5
659,11.0
547,10.9
84,14.7
718,7.1
538,9.2
278,12.1
933,11.0
823,10.5
307,12.5
98,13.5
897,8.8
921,9.8
911,13.6
107,13.5
721,10.1
711,9.3
554,13.7
421,11.2
127,14.4
266,18.6
723,9.1
268,12.4
351,12.3
687,11.4
754,11.0
218,18.1
344,11.9
437,9.1
474,9.1
618,13.4
76,13.0
859,8.8
628,14.8
942,10.5
43,13.0
645,8.6
540,4.4
725,17.5
140,8.2
537,9.9
152,10.3
890,9.3
532,8.7
288,14.1
47,18.0
46,16.0
63,10.0
876,7.9
893,6.7
24,9.8
407,15.7
747,11.7
689,12.8
45,16.1
849,8.5
562,18.0
262,15.8
866,14.8
719,9.7
924,7.7
31,10.4
90,14.5
400,16.9
585,10.9
865,14.9
584,10.7
653,9.5
885,4.4
577,17.9
28,11.5
170,10.6
429,7.8
41,16.7
637,9.9
102,16.1
706,10.5
900,8.8
362,12.0
492,15.2
495,15.2
364,10.0
810,13.5
412,9.6
899,9.5
701,8.7
337,19.9
860,10.1
2,11.0
666,12.3
764,13.0
89,14.7
727,13.7
371,10.7
206,16.5
248,9.7
444,8.4
731,11.6
126,17.9
674,10.7
825,11.9
931,9.5
597,9.4
44,13.1
169,13.1
787,17.0
868,8.5
579,12.7
583,5.5
877,8.1
201,13.9
246,13.0
847,11.0
724,9.3
33,10.3
112,11.0
515,18.6
222,16.5
124,11.3
505,10.8
14,13.0
668,12.9
164,10.9
477,12.0
738,8.4
446,9.1
347,13.0
572,13.3
202,14.7
420,17.0
626,14.4
72,9.5
1,12.6
368,13.0
200,14.4
281,13.5
318,14.7
74,10.0
239,15.8
133,30.3
493,14.1
472,8.8
88,15.1
150,15.0
317,20.8
19,8.5
681,11.0
52,11.1
452,8.4
478,10.6
79,13.9
331,16.0
925,8.1
271,12.8
858,9.9
879,7.6
423,16.0
80,13.9
322,17.3
187,14.0
332,16.6
486,10.5
9,10.5
768,13.1
375,10.6
158,18.1
415,16.0
12,10.8
310,12.1
456,12.1
501,11.2
191,8.9
622,15.1
416,11.7
636,10.2
123,14.4
632,8.6
56,12.5
275,16.7
60,10.5
488,17.5
746,11.0
750,12.2
265,18.1
208,13.0
752,12.3
775,13.8
742,9.2
680,11.0
10,13.5
851,8.8
93,10.4
845,20.0
227,11.2
411,9.2
820,15.3
225,7.7
945,12.4
108,13.9
207,22.0
575,14.4
69,20.3
743,9.4
527,12.9
21,13.0
817,13.8
426,17.0
238,11.7
869,8.6
813,13.8
648,9.6
737,8.4
843,19.9
600,5.7
252,12.8
713,10.1
82,10.4
761,14.0
224,16.7
937,11.3
525,10.6
279,12.1
418,17.0
886,7.6
135,13.0
243,8.0
854,8.3
714,9.6
513,16.7
512,13.0
910,13.1
873,9.5
543,7.7
794,14.7
647,9.1
917,13.8
346,16.1
940,10.7
819,15.7
7,12.3
791,13.1
576,17.1
38,12.8
781,13.8
606,7.5
313,16.8
321,12.6
302,14.5
398,23.1
935,9.4
92,10.4
251,14.7
698,8.2
299,5.5
462,11.8
691,12.6
356,12.4
120,11.3
652,9.0
142,10.0
241,16.3
434,7.7
814,12.8
872,9.4
121,17.9
101,16.1
97,16.1
345,15.2
325,14.7
389,15.1
342,11.7
685,11.5
295,8.5
274,12.7
245,8.9
903,5.8
277,10.0
593,9.0
489,11.5
467,11.0
546,8.8
697,8.7
289,9.3
883,7.5
309,10.1
229,16.0
401,14.9
162,17.0
927,9.0
617,13.4
630,8.3
671,13.6
476,6.3
758,12.2
131,10.8
696,8.2
839,20.1
408,16.6
71,19.2
326,21.2
708,8.8
343,11.5
62,11.7
338,10.7
665,11.0
212,14.7
694,11.4
55,16.9
889,11.9
555,12.7
922,10.3
589,12.2
259,15.8
677,11.2
686,12.1
736,9.0
740,8.0
534,8.8
611,11.1
240,17.0
185,12.6
841,19.9
496,15.2
782,13.8
833,22.4
70,13.0
556,26.5
260,16.7
744,7.4
805,16.8
599,10.5
360,9.8
104,16.1
26,10.2
300,14.8
29,11.1
565,13.5
490,11.2
57,12.5
802,14.4
508,13.7
591,15.1
147,11.4
570,12.2
4,11.2
673,11.0
763,14.0
824,10.4
61,10.5
99,17.8
329,15.8
748,11.2
464,8.5
442,8.3
87,10.4
856,8.4
148,11.9
22,9.8
797,15.3
348,12.0
588,12.2
753,14.0
387,16.2
223,18.2
574,14.4
15,16.4
798,16.0
639,11.6
728,7.7
220,16.6
237,16.0
844,20.0
128,12.1
388,21.5
567,14.2
943,11.0
428,17.0
759,12.5
595,10.1
832,13.4
361,13.3
341,11.4
